S0539	22.75	-158
S0540	22.75	-158
S0541	22.75	-158
S0542	22.75	-158
S0543	22.75	-158
S0544	22.75	-158
S0545	22.75	-158
S0546	22.75	-158
S0547	22.75	-158
S0548	22.75	-158
S0549	22.75	-158
S0550	22.75	-158
S0551	22.75	-158
S0552	22.75	-158
S0553	22.75	-158
S0554	22.75	-158
S0555	22.75	-158
S0556	22.75	-158
S0557	22.75	-158
S0558	22.75	-158
S0559	22.75	-158
S0560	22.75	-158
S0561	22.75	-158
S0562	22.75	-158
S0563	22.75	-158
S0564	22.75	-158
S0565	22.75	-158
S0566	22.75	-158
S0567	31.666667	-64.166667
S0568	31.666667	-64.166667
S0569	31.666667	-64.166667
S0570	31.666667	-64.166667
S0571	31.666667	-64.166667
S0572	31.666667	-64.166667
S0573	31.666667	-64.166667
S0574	31.666667	-64.166667
S0575	31.666667	-64.166667
S0576	31.666667	-64.166667
S0577	31.666667	-64.166667
S0578	31.666667	-64.166667
S0579	31.666667	-64.166667
S0580	31.666667	-64.166667
S0581	31.666667	-64.166667
S0582	31.666667	-64.166667
S0583	31.666667	-64.166667
S0584	31.666667	-64.166667
S0585	31.666667	-64.166667
S0586	31.666667	-64.166667
S0587	31.666667	-64.166667
S0588	31.666667	-64.166667
S0589	31.666667	-64.166667
S0590	31.666667	-64.166667
S0591	31.666667	-64.166667
S0592	31.666667	-64.166667
S0593	31.666667	-64.166667
S0594	31.666667	-64.166667
S0595	31.666667	-64.166667
S0596	31.666667	-64.166667
S0597	31.666667	-64.166667
S0598	31.666667	-64.166667
S0599	31.666667	-64.166667
S0600	31.666667	-64.166667
S0601	31.666667	-64.166667
S0602	31.666667	-64.166667
S0603	31.666667	-64.166667
S0604	31.666667	-64.166667
S0605	31.666667	-64.166667
S0606	31.666667	-64.166667
S0607	31.666667	-64.166667
S0608	31.666667	-64.166667
S0609	31.666667	-64.166667
S0610	31.666667	-64.166667
S0611	31.666667	-64.166667
S0612	31.666667	-64.166667
S0613	31.666667	-64.166667
S0614	31.666667	-64.166667
S0615	31.666667	-64.166667
S0616	31.666667	-64.166667
S0617	31.666667	-64.166667
S0618	31.666667	-64.166667
S0619	31.666667	-64.166667
S0620	31.666667	-64.166667
S0621	31.666667	-64.166667
S0622	31.666667	-64.166667
S0623	31.666667	-64.166667
S0624	31.666667	-64.166667
S0625	31.666667	-64.166667
S0626	31.666667	-64.166667
S0627	22.75	-158
S0628	22.75	-158
S0629	31.666667	-64.166667
S0630	31.666667	-64.166667
tara_S0001	36.5533	-6.5669
tara_S0002	36.5533	-6.5669
tara_S0003	36.5533	-6.5669
tara_S0004	36.5533	-6.5669
tara_S0005	35.7528	14.2765
tara_S0006	35.7528	14.2765
tara_S0007	35.759	14.2574
tara_S0008	35.759	14.2574
tara_S0009	42.1735	17.7252
tara_S0010	42.1735	17.7252
tara_S0011	42.2038	17.715
tara_S0012	42.2038	17.715
tara_S0013	39.3991	19.3997
tara_S0014	39.3991	19.3997
tara_S0015	39.3888	19.3905
tara_S0016	39.3888	19.3905
tara_S0017	33.9235	32.8118
tara_S0018	33.9235	32.8118
tara_S0019	33.9235	32.8118
tara_S0020	33.9235	32.8118
tara_S0021	33.9179	32.898
tara_S0022	33.9179	32.898
tara_S0023	27.1433	34.8
tara_S0024	27.1433	34.8
tara_S0025	23.4183	37.245
tara_S0026	23.4183	37.245
tara_S0027	23.36	37.2183
tara_S0028	23.36	37.2183
tara_S0029	23.36	37.2183
tara_S0030	21.9467	38.2517
tara_S0031	21.9467	38.2517
tara_S0032	18.4417	39.8567
tara_S0033	18.4417	39.8567
tara_S0034	18.3967	39.875
tara_S0035	18.3967	39.875
tara_S0036	20.8222	63.5133
tara_S0037	20.8222	63.5133
tara_S0038	20.8183	63.5047
tara_S0039	20.8183	63.5047
tara_S0040	19.0284	64.5126
tara_S0041	19.0284	64.5126
tara_S0042	19.0393	64.4913
tara_S0043	19.0393	64.4913
tara_S0044	18.5839	66.4727
tara_S0045	18.5839	66.4727
tara_S0046	18.7341	66.3896
tara_S0047	18.7341	66.3896
tara_S0048	14.5536	70.0128
tara_S0049	14.5536	70.0128
tara_S0050	14.6059	69.9776
tara_S0051	14.6059	69.9776
tara_S0052	5.9998	73.9067
